PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,STATUS,MODEL,MODEL_DETAIL,BASIN,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER
Argo ONC,Kohen Bauer,ONC,OPERATIONAL,Deep ARVOR,ARVOR_D,PAC,2025-05-19T17:21:00,43.4750,-148.5867,,SIR WILFRID LAURIER,300534063813710,4902647,AD2700-22CA005
Argo ONC,Herminio Folio Neto,ONC,OPERATIONAL,Deep ARVOR,ARVOR_D,PAC,2026-05-18T03:30:00,43.9016,-151.8176,,SIR WILFRID LAURIER,300534063813860,4902632,AD2700-22CA002
Argo ONC,Herminio Folio Neto,ONC,AVAILABLE,Deep ARVOR,ARVOR_D,PAC,2027-08-06,,,,,300534063508930,4902648,AD2700-22CA006
Argo Canada,Blair Greenan,BIO,CONFIRMED,APEX,APEX_SBE,ATL,2026-10-02,42.8759,-61.6261,,JAMES COOK,300125062496540,4902705,10876
Argo Canada,Blair Greenan,BIO,CONFIRMED,APEX,APEX_SBE,ATL,2026-10-02,43.2057,-57.5132,,JAMES COOK,300125062398780,4902706,10877
Argo Canada,Blair Greenan,BIO,OPERATIONAL,APEX,APEX_SBE,ATL,2026-02-18T05:00:29,54.473972,-51.867512,,HMCS FREDERICK ROLETTE,300125062390780,4902707,10878
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,300125062498550,4902708,10879
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,300125062396790,4902709,10880
Argo Canada,Blair Greenan,BIO,NEED TELECOMMS,APEX,APEX_SBE,,,,,,,300125062397690,4902710,10881
Argo Canada,Blair Greenan,BIO,CONFIRMED,APEX,APEX_SBE,SOU,2027-02-01,-76.0,-167.5,,,300125062391790,4902711,10882
